"Number","Name","Electrical Type","Graphic Style","Orientation","Number Text Size","Name Text Size","Length","X Position","Y Position","Visible","Unit","Body Style"
"2","V_IN_+A","Input","Line","Right","50","50","150","-500","150","True","Unit A","ALL"
"3","V_IN_-A","Input","Line","Right","50","50","150","-500","300","True","Unit A","ALL"
"6","REFT_A","Passive","Line","Right","50","50","150","-500","500","True","Unit A","ALL"
"7","REFB_A","Passive","Line","Right","50","50","150","-500","650","True","Unit A","ALL"
"44","D0_A","Output","Line","Left","50","50","150","550","1250","True","Unit A","ALL"
"45","D1_A","Output","Line","Left","50","50","150","550","1150","True","Unit A","ALL"
"46","D2_A","Output","Line","Left","50","50","150","550","1050","True","Unit A","ALL"
"47","D3_A","Output","Line","Left","50","50","150","550","950","True","Unit A","ALL"
"48","D4_A","Output","Line","Left","50","50","150","550","850","True","Unit A","ALL"
"49","D5_A","Output","Line","Left","50","50","150","550","750","True","Unit A","ALL"
"50","D6_A","Output","Line","Left","50","50","150","550","650","True","Unit A","ALL"
"51","D7_A","Output","Line","Left","50","50","150","550","550","True","Unit A","ALL"
"54","D8_A","Output","Line","Left","50","50","150","550","450","True","Unit A","ALL"
"55","D9_A","Output","Line","Left","50","50","150","550","350","True","Unit A","ALL"
"56","D10_A","Output","Line","Left","50","50","150","550","250","True","Unit A","ALL"
"57","D11_A","Output","Line","Left","50","50","150","550","150","True","Unit A","ALL"
"58","OTR_A","Output","Line","Left","50","50","150","550","1400","True","Unit A","ALL"
"59","OEB_A","Input","Line","Right","50","50","150","-500","1100","True","Unit A","ALL"
"60","PDWN_A","Input","Line","Right","50","50","150","-500","900","True","Unit A","ALL"
"63","CLK_A","Input","Line","Right","50","50","150","-500","1300","True","Unit A","ALL"
"10","REFB_B","Passive","Line","Right","50","50","150","-500","500","True","Unit B","ALL"
"11","REFT_B","Passive","Line","Right","50","50","150","-500","650","True","Unit B","ALL"
"14","V_IN_+B","Input","Line","Right","50","50","150","-500","150","True","Unit B","ALL"
"15","V_IN_-B","Input","Line","Right","50","50","150","-500","300","True","Unit B","ALL"
"18","CLK_B","Input","Line","Right","50","50","150","-500","1300","True","Unit B","ALL"
"21","PDWN_B","Input","Line","Right","50","50","150","-500","900","True","Unit B","ALL"
"22","OEB_B","Input","Line","Right","50","50","150","-500","1100","True","Unit B","ALL"
"25","D0_B","Output","Line","Left","50","50","150","550","1250","True","Unit B","ALL"
"26","D1_B","Output","Line","Left","50","50","150","550","1150","True","Unit B","ALL"
"27","D2_B","Output","Line","Left","50","50","150","550","1050","True","Unit B","ALL"
"30","D3_B","Output","Line","Left","50","50","150","550","950","True","Unit B","ALL"
"31","D4_B","Output","Line","Left","50","50","150","550","850","True","Unit B","ALL"
"32","D5_B","Output","Line","Left","50","50","150","550","750","True","Unit B","ALL"
"33","D6_B","Output","Line","Left","50","50","150","550","650","True","Unit B","ALL"
"34","D7_B","Output","Line","Left","50","50","150","550","550","True","Unit B","ALL"
"35","D8_B","Output","Line","Left","50","50","150","550","450","True","Unit B","ALL"
"36","D9_B","Output","Line","Left","50","50","150","550","350","True","Unit B","ALL"
"37","D10_B","Output","Line","Left","50","50","150","550","250","True","Unit B","ALL"
"38","D11_B","Output","Line","Left","50","50","150","550","150","True","Unit B","ALL"
"39","OTR_B","Output","Line","Left","50","50","150","550","1400","True","Unit B","ALL"
"8","VREF","Bidirectional","Line","Right","50","50","150","-400","150","True","Unit C","ALL"
"9","SENSE","Input","Line","Right","50","50","150","-400","350","True","Unit C","ALL"
"19","DCS","Input","Line","Right","50","50","150","-400","950","True","Unit C","ALL"
"20","DFS","Input","Line","Right","50","50","150","-400","1150","True","Unit C","ALL"
"61","MUX_SEL","Input","Line","Right","50","50","150","-400","750","True","Unit C","ALL"
"62","SHR_REF","Input","Line","Right","50","50","150","-400","550","True","Unit C","ALL"
"1","AGND","Power input","Line","Left","50","50","150","500","1650","True","Unit D","ALL"
"4","AGND","Power input","Line","Left","50","50","150","500","1400","True","Unit D","ALL"
"5","AVDD","Power input","Line","Right","50","50","150","-450","1400","True","Unit D","ALL"
"12","AVDD","Power input","Line","Right","50","50","150","-450","1150","True","Unit D","ALL"
"13","AGND","Power input","Line","Left","50","50","150","500","1150","True","Unit D","ALL"
"16","AGND","Power input","Line","Left","50","50","150","500","900","True","Unit D","ALL"
"17","AVDD","Power input","Line","Right","50","50","150","-450","900","True","Unit D","ALL"
"23","DNC","Unconnected","Line","Up","50","50","150","-50","1250","False","Unit D","ALL"
"24","DNC","Unconnected","Line","Up","50","50","150","0","1250","False","Unit D","ALL"
"28","DRGND","Power input","Line","Left","50","50","150","500","650","True","Unit D","ALL"
"29","DRVDD","Power input","Line","Right","50","50","150","-450","650","True","Unit D","ALL"
"40","DRGND","Power input","Line","Left","50","50","150","500","400","True","Unit D","ALL"
"41","DRVDD","Power input","Line","Right","50","50","150","-450","400","True","Unit D","ALL"
"42","DNC","Unconnected","Line","Up","50","50","150","50","1250","False","Unit D","ALL"
"43","DNC","Unconnected","Line","Up","50","50","150","100","1250","False","Unit D","ALL"
"52","DRVDD","Power input","Line","Right","50","50","150","-450","150","True","Unit D","ALL"
"53","DRGND","Power input","Line","Left","50","50","150","500","150","True","Unit D","ALL"
"64","AVDD","Power input","Line","Right","50","50","150","-450","1650","True","Unit D","ALL"
